ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,pmra,pmdec
57.10351631333752,22.407062846260487,8.069427125789232,0.12728045880794525,14.416559219360352,2.4448442459106445,20.230965100976423,-47.225134748533975
57.56434876786031,22.772072869513444,6.831384175411328,0.3183692693710327,19.25265884399414,3.188201904296875,20.22238660492383,-44.43593358313666
57.58886377465197,23.09614480790089,7.505850970004721,0.026161041110754013,11.168620109558105,1.0253667831420898,19.608488750151913,-46.559026755660526
57.66222912452411,23.21722758953147,7.301312904999704,0.035013243556022644,15.392325401306152,2.568333625793457,18.264910026129144,-45.37654930409289
54.95722061120645,23.057154492976068,7.377781072221634,0.07716092467308044,16.82900047302246,3.0872411727905273,21.08794984606338,-44.74821299693124
56.10635909696462,22.46369887841194,6.9180117362823434,0.24298608303070068,18.787416458129883,3.451997756958008,19.366422823262543,-43.44289529269164
56.10669430950938,22.668738732908064,7.292826529552445,0.17901112139225006,18.554502487182617,3.5606956481933594,19.38724661169848,-43.841254843624036
57.25428791296075,22.980211869536916,7.479338623504139,0.025225181132555008,14.505948066711426,2.2168636322021484,19.782617691627937,-45.89295356467363
57.14388698332008,23.434590988620933,7.380077777631508,0.01621291972696781,10.210410118103027,0.7898921966552734,19.371696632671146,-45.077613013343736
57.27031111022754,23.56076614020058,6.877049897889686,0.5291129350662231,19.572866439819336,3.258502960205078,18.84355355101113,-45.53345940743661
57.02080880346131,23.40357707910696,7.452761101984951,0.1826033592224121,18.267854690551758,3.233041763305664,19.84477584934094,-47.13858324068734
56.71926880123131,23.645138846504032,7.263568493862063,0.0638977438211441,16.497434616088867,3.2339296340942383,19.341465818406746,-45.10348228374381
56.92168447899226,23.740085880970906,7.415330238219003,0.01706705056130886,13.317822456359863,1.6477527618408203,19.389676621809908,-44.41979686439394
55.60962925402735,22.894458319172863,7.3911225554567395,0.016662074252963066,13.702900886535645,1.835357666015625,20.931199055488744,-44.495503230336666
55.475754764398424,23.084529640175024,8.109209998437597,0.6306200623512268,20.035451889038086,2.816844940185547,20.81497250256232,-46.81916443400196
55.85174576047401,23.22490289942252,7.320884398120752,0.11958122253417969,15.693148612976074,1.7411060333251953,20.899384242078337,-42.29185439614603
56.21366072046201,23.572240548511388,6.783900531431093,0.2671646475791931,18.868423461914062,3.6015090942382812,20.145383363877258,-45.57401351324285
56.75155954236713,23.87989483651996,7.258803479406005,0.12227167934179306,17.452062606811523,3.6358585357666016,19.58388880290639,-45.499123808652925
56.73249284036852,23.93987222950905,7.0041880075101695,0.08309373259544373,16.52305793762207,3.1497631072998047,19.462720083764125,-42.19345694470355
56.788355136999364,24.05197806630918,7.303127989157264,0.042878542095422745,15.380992889404297,2.5782222747802734,19.443262497972405,-43.83037106514393
56.14763096345229,24.001134217971668,7.328443682577038,0.018997935578227043,13.67969799041748,1.821913719177246,21.423837772886003,-45.87308933879669
55.98874523518619,24.22217609900833,7.511405170900618,0.0573028102517128,16.333040237426758,2.9795141220092773,20.996867317412804,-44.783064841288336
58.31550471151817,22.870486617226987,7.730450865699229,0.03911403939127922,15.532084465026855,2.6985511779785156,19.49914419001883,-47.30489909870079
58.256848955762266,22.97990043814057,7.420786200411975,0.06616828590631485,16.564483642578125,3.0562849044799805,18.67910400073735,-45.22834943525854
58.600048205654964,23.866179856011417,7.754253502491794,0.19791686534881592,18.064146041870117,3.3268890380859375,18.982609004848122,-47.249118191795915
57.85568054293428,23.889171778893992,7.370803781679368,0.018221663311123848,13.465058326721191,1.7394866943359375,19.113518113426856,-46.862222868873786
58.018711167354724,24.24417935611303,7.514225040745198,0.07694303244352341,16.87387466430664,2.9686622619628906,19.02891889259654,-44.582926550567805
57.48126199309243,24.10123486773792,7.305320987164373,0.06841664761304855,16.615264892578125,2.9840288162231445,18.959841346880506,-43.54104335376583
57.72961087519808,24.19724656530266,7.156892922325294,0.02066630683839321,11.425586700439453,1.026998519897461,18.856737930398275,-43.38606614358302
58.08614920432304,24.565304174952797,7.180182816201832,0.021915849298238754,14.509749412536621,2.2128515243530273,18.501039956746688,-44.61576308443143
56.757758532077304,24.224328016207984,7.379354659402112,0.2890412211418152,18.567302703857422,3.3200836181640625,18.826867117987913,-43.79682879291498
56.957489521440976,24.428489800524442,7.336132894725513,0.07787945866584778,16.653146743774414,3.0433225631713867,20.413652152090826,-45.894555782921664
56.47708455753871,24.55430537374798,7.3052753639807255,0.08387690037488937,5.752026081085205,-0.022989749908447266,20.33140314206862,-46.022054798281474
56.34039171856011,24.54350590311485,7.342700786360437,0.07262516021728516,16.209142684936523,2.7984066009521484,19.75073677504067,-44.3592580791877
56.512420693156756,24.681988265390725,6.917413037487169,0.18984830379486084,17.648338317871094,3.634347915649414,18.971042237502672,-44.08848065433513
57.5273855298918,24.99604042107146,7.096825802855658,0.4139762222766876,16.32106590270996,3.1475400924682617,20.72235673924772,-48.120387801681154
58.01500229553912,25.02030871800869,7.349344579395844,0.08456238359212875,16.957059860229492,3.0880489349365234,19.587360838137478,-46.49312161763032
57.8423312184945,25.165928880530256,7.207573585446735,0.018511295318603516,13.613075256347656,1.818756103515625,19.598903434367212,-45.434094042339595
55.27187406487266,23.83735301337884,7.602452973629081,0.2095186412334442,17.983884811401367,3.4947357177734375,21.337675933042124,-45.28576383275218
54.788131417357974,24.367623103320557,7.0063925828546205,0.01941683515906334,9.708420753479004,0.7482738494873047,18.924603160422812,-40.7879756704596
55.674687877103224,24.199276473366776,6.8213044818894275,0.020507503300905228,13.848956108093262,1.9044437408447266,20.123377100985664,-41.14435023565595
