time_bkjd,flux,flux_err
169.76577163039474,1.0019361819888462,0.00016679595153130223
169.78620567242615,1.0019779770239121,0.0001668037268018759
169.8066395142232,1.0020039639737595,0.00016681995509057937
169.82707355578168,1.002116933948615,0.00016680961944034943
169.84750739711308,1.0017369230024797,0.0001667977965107604
169.86794143821317,1.001719804002877,0.00016676466218579742
169.88837527907162,1.0015980431903877,0.00016678153056941494
169.9088092197053,1.002274012336861,0.00016682281669137163
169.92924325987406,1.0020775294044844,0.00016678591710220833
169.94967710003402,1.002205613451061,0.00016682714674520202
169.97011103973637,1.0018993221608727,0.00016675916490006495
169.99054507920664,1.0018205130726117,0.00016676304312219129
170.01097901843605,1.0018763426028474,0.00016676449274890843
170.03141285743914,1.00213335893472,0.00016674449919600463
170.05184679621016,1.0018662408508296,0.0001667454216857337
170.07228073474107,1.0018453433332968,0.00016672994644987034
170.09271467304643,1.0019857653976052,0.0001667407339318043
170.11314861111896,1.0019375700158408,0.00016671296510832682
170.1335826487193,1.0020614128688223,0.00016674173172681738
170.15401658632618,1.0017762504339993,0.00016672205822137063
170.19488436060055,1.0017927525327155,0.00016671091303933764
170.2153182972761,1.0025533913258724,0.0001667529898667764
170.2357522337188,1.00199370799652,0.00016670193288421985
170.25618616992142,1.001942659448155,0.00016668022613610493
170.27662020589923,1.0018241373653205,0.00016672458094838487
170.2970540416427,1.0020071255908032,0.00016673373054039168
170.31748797691398,1.0020187695950373,0.00016671840591509632
170.33792191219254,1.0016835610757904,0.00016671987436813444
170.35835584723827,1.0013348578496493,0.00016672186995816062
170.37878978181107,0.9975629716038594,0.00016653791797565322
170.3992237161583,0.9935212683328003,0.00016633165680275886
170.4196577505063,0.9925943747507094,0.00016627815239847208
170.44009158437984,0.9927101978921653,0.0001663176311936126
170.4605255180286,0.992823553430075,0.00016628551348998375
170.48095935144374,0.9952141214781948,0.00016640752687639563
170.50139338462031,1.0011327456966825,0.00016665902769865703
170.52182731733774,1.001935719313181,0.00016668256059990913
170.5422611500544,1.0015577132949274,0.00016668860384895067
170.56269518253248,1.0017526539750876,0.00016672179465287661
170.5831291145514,1.0015140675572016,0.00016667241321288923
170.6035630463375,1.0020486892880367,0.00016668879211216068
