dist_mpc,vel_kms
37.70000076293945,2926.0
166.6999969482422,10487.0
50.79999923706055,2309.0
99.5,8819.0
30.5,2116.0
173.39999389648438,13621.0
167.5,10779.0
83.19999694824219,6997.0
159.1999969482422,16093.0
149.3000030517578,13027.0
101.9000015258789,8705.0
80.5,5100.0
60.5,4439.0
103.30000305175781,7933.0
141.3000030517578,13751.0
71.4000015258789,6795.0
141.89999389648438,13111.0
171.8000030517578,13360.0
20.899999618530273,1423.0
26.899999618530273,1870.0
157.0,11862.0
48.29999923706055,4280.0
74.5,6846.0
84.69999694824219,9382.0
139.3000030517578,8016.0
29.100000381469727,2931.0
98.30000305175781,7736.0
42.900001525878906,3678.0
98.5999984741211,10069.0
92.0,6316.0
153.10000610351562,11371.0
19.700000762939453,1380.0
103.80000305175781,6701.0
132.39999389648438,9561.0
56.20000076293945,4086.0
25.799999237060547,2557.0
141.3000030517578,9487.0
108.0999984741211,6944.0
68.5,5249.0
75.19999694824219,5542.0
155.60000610351562,9959.0
49.0,4408.0
78.0,5703.0
48.400001525878906,4507.0
129.39999389648438,6743.0
90.80000305175781,6602.0
102.69999694824219,6715.0
25.799999237060547,1920.0
121.30000305175781,9258.0
59.29999923706055,4566.0
52.0,2755.0
46.099998474121094,3900.0
50.70000076293945,2842.0
36.099998474121094,1980.0
48.5,3601.0
103.80000305175781,9584.0
31.5,3080.0
40.900001525878906,3301.0
161.8000030517578,10882.0
76.9000015258789,6691.0
128.8000030517578,6275.0
32.70000076293945,2392.0
196.8000030517578,15076.0
145.1999969482422,8223.0
138.0,12298.0
167.5,14743.0
120.19999694824219,10575.0
165.1999969482422,12282.0
190.0,15032.0
120.19999694824219,10530.0
35.29999923706055,2880.0
69.5,5314.0
16.399999618530273,1340.0
119.0,9443.0
34.5,2218.0
113.19999694824219,7197.0
180.3000030517578,11944.0
136.8000030517578,10168.0
150.89999389648438,11483.0
140.0,8950.0
133.6999969482422,10382.0
113.80000305175781,7788.0
52.5,4998.0
40.400001525878906,1854.0
41.900001525878906,2179.0
164.39999389648438,10643.0
117.5,7733.0
165.1999969482422,10613.0
28.100000381469727,4570.0
163.6999969482422,9361.0
157.8000030517578,9174.0
48.79999923706055,4973.0
74.0999984741211,4777.0
78.30000305175781,10391.0
61.099998474121094,3841.0
40.900001525878906,4180.0
116.4000015258789,7290.0
73.80000305175781,6091.0
84.30000305175781,8452.0
69.5,5029.0
120.19999694824219,9394.0
70.0999984741211,10620.0
72.0999984741211,3981.0
160.6999969482422,15084.0
66.69999694824219,5024.0
66.69999694824219,3328.0
42.70000076293945,3352.0
98.5999984741211,6484.0
36.0,2821.0
130.0,13424.0
31.600000381469727,2421.0
136.8000030517578,9946.0
129.39999389648438,9557.0
150.0,11867.0
11.300000190734863,836.0
26.899999618530273,2407.0
31.799999237060547,2106.0
23.0,1492.0
97.69999694824219,7994.0
130.8000030517578,9826.0
82.4000015258789,11333.0
95.0999984741211,6054.0
160.0,13161.0
61.099998474121094,4921.0
55.5,4878.0
109.5999984741211,7222.0
101.4000015258789,8431.0
19.899999618530273,1189.0
59.400001525878906,4846.0
108.0999984741211,7851.0
96.5999984741211,10447.0
175.39999389648438,9635.0
33.70000076293945,2705.0
42.70000076293945,3560.0
85.0999984741211,4608.0
136.10000610351562,8343.0
118.5999984741211,7274.0
164.39999389648438,10243.0
95.5,6637.0
67.30000305175781,6687.0
131.1999969482422,15283.0
42.70000076293945,4805.0
44.900001525878906,2902.0
28.399999618530273,1114.0
114.80000305175781,7874.0
61.099998474121094,5352.0
100.0,6450.0
182.8000030517578,11599.0
57.5,4551.0
144.5,11703.0
