time_bkjd,mag,mag_err
169.52002878146595,0.07645625846473678,1.4314333869721971e-05
169.540463079029,0.07820981516759978,1.4325264416932632e-05
169.56089737612638,0.07994244004913073,1.433627097657584e-05
169.58133167298365,0.08163962159574545,1.4347021750450668e-05
169.6017659698482,0.08334285535825098,1.4357953543343167e-05
169.62220016647916,0.08502156209629974,1.4368615129060416e-05
169.64263456287154,0.0867221412671392,1.4379824842165105e-05
169.6630688590376,0.08836910771894065,1.4390090771758834e-05
169.68350305497006,0.08997315945832764,1.4400594637454632e-05
169.70393735066318,0.09162926719353356,1.4411436705687432e-05
169.72437174636434,0.09324032656152802,1.4421592010484237e-05
169.7652402370586,0.09637341997707662,1.446521656756586e-05
169.78567463206127,0.09797300409962156,1.4475551419388886e-05
169.8061088268296,0.09954777038662772,1.4485982029861898e-05
169.82654322135932,0.10106897945365455,1.4495564520266481e-05
169.84697741566197,0.10259075202564691,1.450504147754062e-05
169.86741180996614,0.10416767307681579,1.4515480602260452e-05
169.8878460040287,0.1056121993255739,1.4524713085632079e-05
169.90828029786644,0.10705100011034455,1.4534066339304867e-05
169.92871469147212,0.10851026808135719,1.4543518293493606e-05
169.94914888483618,0.10990934713611712,1.4552332769448912e-05
169.96958317797544,0.11128077877426078,1.4561352473904468e-05
169.99001757111546,0.11265743291442003,1.4569642263960759e-05
170.01045186378178,0.11397844910607238,1.4578431257301759e-05
170.03088605645462,0.11518490105759312,1.4586077393903864e-05
170.0513203488954,0.1163767859637785,1.459350729294058e-05
170.07175464109605,0.11755962854202229,1.4601273618114075e-05
170.092188933304,0.11867018333902973,1.4608339361929645e-05
170.11262322504626,0.11967367873526422,1.4614965152832215e-05
170.1330576165492,0.1206751476279521,1.4621595098693269e-05
170.15349190805864,0.12159305379481333,1.4627401492449464e-05
170.194360390371,0.12320896376679934,1.463787129680304e-05
170.21479468118196,0.12392906677040864,1.4642571772947153e-05
170.23522897176008,0.12450706404399639,1.4646058230130805e-05
170.25566326233093,0.12498995246723854,1.464908684072283e-05
170.27609765244415,0.1254320670339731,1.4651944427894265e-05
170.29653184255585,0.12572616128556244,1.4653914536218858e-05
170.3169661324282,0.12590373137883662,1.465513709659758e-05
170.337400422075,0.1259489108719524,1.465479549299118e-05
170.35783471148898,0.1258889661972179,1.4654503122523275e-05
170.37826900066284,0.1256873292201492,1.4653389214540246e-05
170.39870328961115,0.1253044584424049,1.4650600607694477e-05
170.41913767856022,0.12478695925600888,1.4647265649495696e-05
170.43957186726766,0.12410185683230573,1.4642753230009494e-05
170.46000615551748,0.12326715962356848,1.4636663665415018e-05
170.48044034376653,0.122282013036082,1.4629899790788792e-05
170.50087473200983,0.12107204741343375,1.4621748088894826e-05
170.521309019794,0.11969617889030418,1.4612583489805345e-05
170.54174320734455,0.11812237269645395,1.4601362010536358e-05
170.56217759488936,0.11639293372848974,1.4589108336433544e-05
170.58261188197503,0.11441364007766534,1.4575458043235943e-05
170.6030461690607,0.11224790646347822,1.4561409074828238e-05
170.62348035590549,0.10989100244153543,1.4544229956626657e-05
170.64391474252625,0.10728470146069506,1.452641048005902e-05
170.66434902891342,0.10440523889629083,1.4507291152790273e-05
170.68478321529255,0.10131889068559596,1.448616968794322e-05
170.70521760121483,0.09800100295381231,1.4464166232843355e-05
170.72565188713634,0.09444693722641417,1.444032820530729e-05
170.74608607258415,0.09066300095880482,1.441501492331751e-05
170.76652045804076,0.08663955664429543,1.4388798864242917e-05
170.78695474326378,0.08233713786238506,1.4360169417225393e-05
170.80738892847876,0.07783311261931451,1.4331060471404431e-05
170.82782321323612,0.0731960199402329,1.4300850403665949e-05
